Judul Posisi;Nama Perusahaan;Lokasi;Tipe Pekerjaan;Pengalaman;Pendidikan;Gaji;Tanggal Posting;Keyword
QUALITY CONTROL / QUALITY ASSURANCE;PT JEONGWOO INDUSTRY INDONESIA;Cirebon, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);QUALITY CONTROL / QUALITY ASSURANCERp 3,5 jt-4,5 jt;21 hari yang lalu;Manual Tester
Quality Control (QC);PT. Sinar Mas Autopart;Semarang, Jawa Tengah;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Quality Control (QC)Rp 3 jt-3,1 jt;4 hari yang lalu;Manual Tester
Quality Control (QC);PT Gajahsora Eka Persada;Kab. Bantul, DI Yogyakarta;Penuh Waktu;Minimal SMA/SMK;Outgoing Quality Control (OQC);Quality Control (QC)Rp 2,3 jt;20 hari yang lalu;Manual Tester
QA Tester - Banking;PT Sigma Global Teknologi;Tangerang Selatan, Banten;Kontrak;1–3 tahun;Minimal Sarjana (S1);QA Tester - BankingRp 7 jt-7,5 jt;20 hari yang lalu;Manual Tester
QA Manager;Entobel;Đất Đỏ, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);QA ManagerGaji Tidak Ditampilkan;2 hari yang lalu;Manual Tester
QC MANAGER;PT BOYI HARDWARE PLASTICS;Kab. Pekalongan, Jawa Tengah;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);QC MANAGERRp 7 jt-10 jt;20 hari yang lalu;Manual Tester
QA Engineer;Nodewave Indonesia;Jakarta Barat, DKI Jakarta;Hybrid;Penuh Waktu;1–3 tahun;QA EngineerGaji Tidak Ditampilkan;Kemarin;Manual Tester
QA Engineer;Integrasi Optimal Visitama (IOV);Surabaya, Jawa Timur;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);QA EngineerRp 7 jt-9 jt;4 hari yang lalu;Manual Tester
Quality Assurance Manager;CV Sunshine Agri Pratama;Denpasar, Bali;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Quality Assurance ManagerRp 7 jt-9 jt;6 hari yang lalu;Manual Tester
Quality Assurance Lead;Bekerdja.id;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Penuh Waktu;5–10 tahun;Quality Assurance LeadRp 10 jt-13 jt;10 hari yang lalu;Manual Tester
Quality Assurance Manager;Mafaza Performa;Bandung, Jawa Barat;Kontrak;3–5 tahun;Minimal Sarjana (S1);Quality Assurance ManagerRp 7 jt-7,9 jt;14 hari yang lalu;Manual Tester
Quality Assurance Engineer;Kinobi AI;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Penuh Waktu;3–5 tahun;Quality Assurance EngineerGaji Tidak Ditampilkan;7 hari yang lalu;Manual Tester
QA Engineer;Pt. Nusantara Berkah Digital;Kab. Bantul, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);QA EngineerRp 3 jt-4 jt;6 hari yang lalu;Manual Tester
QA Engineer;PT KAJA INDO AERO;Bekasi, Jawa Barat;Remote/Dari rumah;Kontrak;5–10 tahun;QA EngineerRp 9 jt-15 jt;9 hari yang lalu;Manual Tester
Quality Control Manager;Pusat Bekam Ruqyah;Kab. Bekasi, Jawa Barat;Kontrak;1–3 tahun;Minimal Sarjana (S1);Quality Control ManagerRp 5 jt-6 jt;23 hari yang lalu;Manual Tester
UI / UX Specialist;MyFundAction Indonesia;Jakarta Pusat, DKI Jakarta;Hybrid;Freelance;1–3 tahun;UI / UX SpecialistRp 3 jt-6 jt;9 hari yang lalu;UI UX Designer
UI/UX Designer;PT Neural Technologies Indonesia (Official);Jakarta Selatan, DKI Jakarta;Hybrid;Kontrak;3–5 tahun;UI/UX DesignerGaji Tidak Ditampilkan;16 menit yang lalu;UI UX Designer
UI/UX Designer;PT Mediatechindo;Yogyakarta, DI Yogyakarta;Remote/Dari rumah;Penuh Waktu;3–5 tahun;UI/UX DesignerRp 3 jt-4 jt;7 hari yang lalu;UI UX Designer
UI/UX Designer;Ngonten Box;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 4 jt-6 jt;24 hari yang lalu;UI UX Designer
UI/UX Designer;Uprint.id;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerGaji Tidak Ditampilkan;25 hari yang lalu;UI UX Designer
UI/UX Designer;PT Persada Duta Beliton (Persada Indonesia Brand);Surabaya, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 3,8 jt-4 jt;3 hari yang lalu;UI UX Designer
Intern UX/UI Design;Công ty Cổ Phần Chuỗi Bán Lẻ Mini Min;Quận Thủ Đức, Vietnam;Penuh Waktu;Minimal Sarjana (S1);UX Design;Intern UX/UI Design₫ 1-5 jt;Kemarin;UI UX Designer
UI/UX Designer;LabMu;Yogyakarta, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 3,5 jt-4 jt;30 hari yang lalu;UI UX Designer
UI/UX Designer;Dzt Corp;Quận Nam Từ Liêm, Vietnam;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerGaji Tidak Ditampilkan;2 hari yang lalu;UI UX Designer
UI/UX Designer;Konten.com;Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 5 jt-8 jt;9 hari yang lalu;UI UX Designer
UX/UI Designer Intern;Moniq Tap;Quận Chín, Vietnam;Magang;Minimal Sarjana (S1);Graphic Design;UX/UI Designer Intern₫ 2,5-4 jt;23 hari yang lalu;UI UX Designer
UI/UX Designer;PT Nextgen Inovasi Indonesia;Jakarta Selatan, DKI Jakarta;Kontrak;3–5 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 6 jt-8 jt;10 hari yang lalu;UI UX Designer
UI/UX Designer;PT Reka Multi Aptika;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 5 jt-9 jt;7 hari yang lalu;UI UX Designer
UI/UX Designer;CÔNG TY TNHH IA-DATA TECH VIETNAM;Quận Chín, Vietnam;Penuh Waktu;1–3 tahun;Minimal College Degree;UI/UX DesignerGaji Tidak Ditampilkan;2 jam yang lalu;UI UX Designer
UI/UX Designer;PT Sellerpintar Digital Asia;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 2,6 jt-2,6 jt;3 hari yang lalu;UI UX Designer
Desainer UI/UX;Yasa Nusa Talenta;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Desainer UI/UXRp 7 jt-21 jt;7 hari yang lalu;UI UX Designer
UX/UI Designer Intern;TMA Solutions;Quận Mười Hai, Vietnam;Magang;Minimal Sarjana (S1);Figma;UX/UI Designer InternGaji Tidak Ditampilkan;10 hari yang lalu;UI UX Designer
UI/UX Designer;HRM Labs Indonesia;Quận Một, Vietnam;Remote/Dari rumah;Penuh Waktu;1–3 tahun;UI/UX Designer₫ 7-9 jt;13 hari yang lalu;UI UX Designer
Web UI/UX Designer;PT Tonjoo Gagas Teknologi;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Web UI/UX DesignerRp 3 jt-4 jt;Kemarin;UI UX Designer
Web UI/UX Designer;PT Mulia Cipta Indonesia;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Web UI/UX DesignerRp 4 jt-6 jt;21 hari yang lalu;UI UX Designer
UI/UX Designer;Công ty Cổ phần Dịch vụ Trực tuyến Cộng Đồng Việt (VietUnion);Quận Một, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);UI/UX DesignerGaji Tidak Ditampilkan;20 hari yang lalu;UI UX Designer
Web UI/UX Designer;CÔNG TY TNHH TMT SEN VÀNG VIỆT NAM;Quận Thủ Đức, Vietnam;Penuh Waktu;3–5 tahun;Minimal College Degree;Web UI/UX Designer₫ 15-21 jt;8 hari yang lalu;UI UX Designer
UI/UX Designer;Công ty CP Eduvator;Quận Bình Thạnh, Vietnam;Penuh Waktu;1–3 tahun;Minimal College Degree;UI/UX DesignerGaji Tidak Ditampilkan;7 hari yang lalu;UI UX Designer
Graphic & UI/UX Designer;PT Vylera Labs Indonesia;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic & UI/UX DesignerGaji Tidak Ditampilkan;22 hari yang lalu;UI UX Designer
UI/UX Designer Intern;PT MITRA BERKAT DIGITAL;Jakarta Pusat, DKI Jakarta;Magang;1–3 tahun;Minimal Sarjana (S1);UI/UX Designer InternGaji Tidak Ditampilkan;9 hari yang lalu;UI UX Designer
UI/UX Designer;3dvanced Pte Ltd;Yogyakarta, DI Yogyakarta;Remote/Dari rumah;Kontrak;1–3 tahun;UI/UX DesignerRp 5 jt-10 jt;7 hari yang lalu;UI UX Designer
Desainer UI/UX;Pickolab Studio;Semarang, Jawa Tengah;Hybrid;Kontrak;1–3 tahun;Desainer UI/UXRp 3 jt-3,5 jt;6 hari yang lalu;UI UX Designer
Desainer UI/UX;PT Indoparts Mobile Phones;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Desainer UI/UXRp 5 jt-6,5 jt;5 hari yang lalu;UI UX Designer
Senior UX/UI Designer;Beyond Creative agency;Quận Hai, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Senior UX/UI Designer₫ 15-25 jt;3 jam yang lalu;UI UX Designer
Desainer UI/UX;PT Teknologi Govirtual Indonesia;Jakarta Selatan, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Desainer UI/UXRp 5,5 jt-7 jt;2 hari yang lalu;UI UX Designer
UI / UX Specialist;MyFundAction Indonesia;Jakarta Pusat, DKI Jakarta;Hybrid;Freelance;1–3 tahun;UI / UX SpecialistRp 3 jt-6 jt;9 hari yang lalu;UX Researcher
UX Strategist;PT HIKMAT UMAT BERINOVASI;Jakarta Selatan, DKI Jakarta;Hybrid;Penuh Waktu;3–5 tahun;UX StrategistGaji Tidak Ditampilkan;Kemarin;UX Researcher
UI/UX Designer;PT Nextgen Inovasi Indonesia;Jakarta Selatan, DKI Jakarta;Kontrak;3–5 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 6 jt-8 jt;10 hari yang lalu;UX Researcher
UI/UX Designer;Konten.com;Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 5 jt-8 jt;9 hari yang lalu;UX Researcher
UI/UX Designer;PT Neural Technologies Indonesia (Official);Jakarta Selatan, DKI Jakarta;Hybrid;Kontrak;3–5 tahun;UI/UX DesignerGaji Tidak Ditampilkan;16 menit yang lalu;UX Researcher
UI/UX Designer;PT Reka Multi Aptika;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 5 jt-9 jt;7 hari yang lalu;UX Researcher
UI/UX Designer;PT Persada Duta Beliton (Persada Indonesia Brand);Surabaya, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 3,8 jt-4 jt;3 hari yang lalu;UX Researcher
UI/UX Designer;LabMu;Yogyakarta, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerRp 3,5 jt-4 jt;30 hari yang lalu;UX Researcher
UI/UX Designer;PT Sellerpintar Digital Asia;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 2,6 jt-2,6 jt;3 hari yang lalu;UX Researcher
UI/UX Designer;3dvanced Pte Ltd;Yogyakarta, DI Yogyakarta;Remote/Dari rumah;Kontrak;1–3 tahun;UI/UX DesignerRp 5 jt-10 jt;7 hari yang lalu;UX Researcher
UI/UX Designer;PT Mediatechindo;Yogyakarta, DI Yogyakarta;Remote/Dari rumah;Penuh Waktu;3–5 tahun;UI/UX DesignerRp 3 jt-4 jt;7 hari yang lalu;UX Researcher
UI/UX Designer;Uprint.id;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerGaji Tidak Ditampilkan;25 hari yang lalu;UX Researcher
UI/UX Designer;Công ty CP Eduvator;Quận Bình Thạnh, Vietnam;Penuh Waktu;1–3 tahun;Minimal College Degree;UI/UX DesignerGaji Tidak Ditampilkan;7 hari yang lalu;UX Researcher
UI/UX Designer;CÔNG TY TNHH IA-DATA TECH VIETNAM;Quận Chín, Vietnam;Penuh Waktu;1–3 tahun;Minimal College Degree;UI/UX DesignerGaji Tidak Ditampilkan;2 jam yang lalu;UX Researcher
UI/UX Designer;Ngonten Box;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);UI/UX DesignerRp 4 jt-6 jt;24 hari yang lalu;UX Researcher
UI/UX Designer;Công ty Cổ phần Dịch vụ Trực tuyến Cộng Đồng Việt (VietUnion);Quận Một, Vietnam;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);UI/UX DesignerGaji Tidak Ditampilkan;20 hari yang lalu;UX Researcher
UI/UX Designer;Dzt Corp;Quận Nam Từ Liêm, Vietnam;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);UI/UX DesignerGaji Tidak Ditampilkan;2 hari yang lalu;UX Researcher
UI/UX Designer;HRM Labs Indonesia;Quận Một, Vietnam;Remote/Dari rumah;Penuh Waktu;1–3 tahun;UI/UX Designer₫ 7-9 jt;13 hari yang lalu;UX Researcher
Web UI/UX Designer;PT Tonjoo Gagas Teknologi;Kab. Sleman, DI Yogyakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Web UI/UX DesignerRp 3 jt-4 jt;Kemarin;UX Researcher
UI/UX Designer Intern;PT MITRA BERKAT DIGITAL;Jakarta Pusat, DKI Jakarta;Magang;1–3 tahun;Minimal Sarjana (S1);UI/UX Designer InternGaji Tidak Ditampilkan;9 hari yang lalu;UX Researcher
Web UI/UX Designer;PT Mulia Cipta Indonesia;Jakarta Barat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Web UI/UX DesignerRp 4 jt-6 jt;21 hari yang lalu;UX Researcher
UI UX Designer Intern;Noak;Central, Singapore;Remote/Dari rumah;Magang;Minimal Diploma (D1 - D4);UI UX Designer Intern$ 20-20 rb;10 hari yang lalu;UX Researcher
Graphic & UI/UX Designer;PT Vylera Labs Indonesia;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic & UI/UX DesignerGaji Tidak Ditampilkan;22 hari yang lalu;UX Researcher
UI/UX Designer Internship;Makers Institute;Bandung, Jawa Barat;Magang;Minimal SMA/SMK;Figma;UI/UX Designer InternshipRp 600 rb;17 hari yang lalu;UX Researcher
Internship UI/UX Designer;PT Biantara Teknologi Indonesia;Tangerang Selatan, Banten;Hybrid;Penuh Waktu;Minimal SMA/SMK;Internship UI/UX DesignerRp 1 jt-2 jt;Kemarin;UX Researcher
UI UX Designer (Intern);PT. Living Fitness Indonesia;Jakarta Pusat, DKI Jakarta;Hybrid;Magang;Minimal Sarjana (S1);UI UX Designer (Intern)Rp 2,5 jt-2,5 jt;16 hari yang lalu;UX Researcher
UI/UX Designer Intern;Palm Game Studio;Denpasar, Bali;Remote/Dari rumah;Magang;1–3 tahun;UI/UX Designer InternRp 1 jt;9 hari yang lalu;UX Researcher
UI/UX Designer Intern;PT. Cipta Visi Cakrawala;Kab. Tangerang, Banten;Remote/Dari rumah;Magang;Minimal SMA/SMK;UI/UX Designer InternRp 1 jt;24 hari yang lalu;UX Researcher
Web UI/UX Designer;CÔNG TY TNHH TMT SEN VÀNG VIỆT NAM;Quận Thủ Đức, Vietnam;Penuh Waktu;3–5 tahun;Minimal College Degree;Web UI/UX Designer₫ 15-21 jt;8 hari yang lalu;UX Researcher
UI/UX Design Internship;PT Manjo Teknologi Indonesia;Jakarta Selatan, DKI Jakarta;Magang;Minimal SMA/SMK;User Experience Design;UI/UX Design InternshipRp 2 jt-3 jt;23 hari yang lalu;UX Researcher
Product Designer;PT HIKMAT UMAT BERINOVASI;Jakarta Selatan, DKI Jakarta;Hybrid;Penuh Waktu;3–5 tahun;Product DesignerGaji Tidak Ditampilkan;6 hari yang lalu;Product Designer
Product Designer;Bareksa Portal Investasi / Bareksa.com;Jakarta Selatan, DKI Jakarta;Hybrid;Penuh Waktu;3–5 tahun;Product DesignerGaji Tidak Ditampilkan;8 hari yang lalu;Product Designer
Product Designer;PT Hydrax Teknologi Indonesia;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Penuh Waktu;3–5 tahun;Product DesignerRp 15 jt-20 jt;20 hari yang lalu;Product Designer
Product Designer;RRMF Official;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Product DesignerGaji Tidak Ditampilkan;10 hari yang lalu;Product Designer
Product Designer;JAWA CLASSIC AESTETICS FURNITURE & CRAFT;Kab. Bantul, DI Yogyakarta;Paruh Waktu;1–3 tahun;Minimal Sarjana (S1);Product DesignerRp 1 jt-3 jt;11 hari yang lalu;Product Designer
Product Designer;Kaosedhewe;Semarang, Jawa Tengah;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Product DesignerRp 2,5 jt-3,2 jt;16 hari yang lalu;Product Designer
Art Director (Graphic Designer Branding);Qoar Creative Agency;Surabaya, Jawa Timur;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Art Director (Graphic Designer Branding)Rp 4 jt-6 jt;11 hari yang lalu;Product Designer
Internship Product Designer;CV Kingkoper Promosindo;Bekasi, Jawa Barat;Magang;Minimal Diploma (D1 - D4);Sketch;Internship Product DesignerRp 600 rb-1 jt;10 hari yang lalu;Product Designer
Art Director;Authentism;Bandung, Jawa Barat;Penuh Waktu;3–5 tahun;Minimal SMA/SMK;Art DirectorGaji Tidak Ditampilkan;8 hari yang lalu;Product Designer
Product Designer Footwear;Patris Official;Bogor, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Product Designer FootwearRp 5 jt-7 jt;8 hari yang lalu;Product Designer
Senior Product Designer;PT Pintar Pemenang Asia;Jakarta Pusat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Senior Product DesignerGaji Tidak Ditampilkan;31 hari yang lalu;Product Designer
Product & Graphic Designer;PT. Andalan Permata Harapan;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Product & Graphic DesignerRp 2,8 jt-4 jt;12 hari yang lalu;Product Designer
Packaging Product Designer;Mulia Box;Kab. Bandung, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Packaging Product DesignerRp 3 jt-4 jt;13 hari yang lalu;Product Designer
Art Director;Thiqla;Bandung, Jawa Barat;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);Art DirectorGaji Tidak Ditampilkan;13 hari yang lalu;Product Designer
Art Director;Pt. Gawe Becik Nadhah Anugrah (genah);Kab. Bantul, DI Yogyakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Art DirectorRp 5 jt-6 jt;8 hari yang lalu;Product Designer
Art Director;PT Anugrah Media Karyatama;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Art DirectorRp 8 jt-10 jt;23 hari yang lalu;Product Designer
Art Director;PT Cemerlang Orbit Talenindo;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Art DirectorRp 5,4 jt-8,1 jt;Kemarin;Product Designer
3D Product Designer;INKLAB COMPANY LIMITED;Quận Nam Từ Liêm, Vietnam;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);3D Product Designer₫ 10-12 jt;3 hari yang lalu;Product Designer
Product Designer Intern;PT Boogie Apparel Indonesia;Bogor, Jawa Barat;Magang;Minimal Sarjana (S1);Fashion Design;Product Designer InternRp 1 jt-1,5 jt;16 hari yang lalu;Product Designer
Senior Art Director;13-years;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Penuh Waktu;5–10 tahun;Senior Art DirectorRp 15 jt-25 jt;9 hari yang lalu;Product Designer
Product Designer & Product Development Kosmetik;Cindynal;Tangerang, Banten;Penuh Waktu;Minimal SMA/SMK;Adobe Illustrator, Adobe Photoshop, Figma, Dan/atau Canva;Product Designer & Product Development KosmetikRp 3 jt-5 jt;14 hari yang lalu;Product Designer
Software Product Designer Internship;PT Qtera Mandiri;Jakarta Utara, DKI Jakarta;Magang;Minimal Diploma (D1 - D4);Usability Testing;Software Product Designer InternshipGaji Tidak Ditampilkan;5 hari yang lalu;Product Designer
Art Director;PT Wijaya Media Komunika;Jakarta Selatan, DKI Jakarta;Kontrak;5–10 tahun;Minimal Sarjana (S1);Art DirectorRp 10 jt-14 jt;21 hari yang lalu;Product Designer
Art Director;PT. ANUGRAH CIPTA KARYATAMA;Jakarta Barat, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Art DirectorRp 9 jt-10 jt;23 hari yang lalu;Product Designer
Graphic Designer;NCY;Kab. Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerGaji Tidak Ditampilkan;7 hari yang lalu;Product Designer
Art Director;PT. ALLADA HEBAT SEJAHTERA;Jakarta Barat, DKI Jakarta;Kontrak;1–3 tahun;Minimal Sarjana (S1);Art DirectorRp 7 jt-10 jt;31 hari yang lalu;Product Designer
Freelance Graphic Designer;Kumparan;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Freelance;1–3 tahun;Freelance Graphic DesignerGaji Tidak Ditampilkan;13 hari yang lalu;Product Designer
(Interior Furniture) Product Designer;Group BIKA;Tangerang Selatan, Banten;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);(Interior Furniture) Product DesignerRp 5,5 jt-6,5 jt;14 hari yang lalu;Product Designer
Freelance Graphic Designer;PT. Berkah Investasi Teknologi;Kab. Sleman, DI Yogyakarta;Hybrid;Freelance;1–3 tahun;Freelance Graphic DesignerRp 1 jt-1,5 jt;9 hari yang lalu;Product Designer
Art Director / Senior Art Director;CÔNG TY TNHH TMRW VIỆT NAM;Quận Bình Thạnh, Vietnam;Penuh Waktu;3–5 tahun;Minimal College Degree;Art Director / Senior Art DirectorGaji Tidak Ditampilkan;9 hari yang lalu;Product Designer
Art Director (Graphic Designer Branding);Qoar Creative Agency;Surabaya, Jawa Timur;Penuh Waktu;3–5 tahun;Minimal Sarjana (S1);Art Director (Graphic Designer Branding)Rp 4 jt-6 jt;11 hari yang lalu;Graphic Designer
Graphic Designer;NCY;Kab. Tangerang, Banten;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerGaji Tidak Ditampilkan;7 hari yang lalu;Graphic Designer
Freelance Graphic Designer;Kumparan;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Freelance;1–3 tahun;Freelance Graphic DesignerGaji Tidak Ditampilkan;13 hari yang lalu;Graphic Designer
Freelance Graphic Designer;PT. Berkah Investasi Teknologi;Kab. Sleman, DI Yogyakarta;Hybrid;Freelance;1–3 tahun;Freelance Graphic DesignerRp 1 jt-1,5 jt;9 hari yang lalu;Graphic Designer
Freelance Graphic Designer;PT Computrade Technology International;Jakarta Selatan, DKI Jakarta;Hybrid;Freelance;1–3 tahun;Freelance Graphic DesignerGaji Tidak Ditampilkan;21 hari yang lalu;Graphic Designer
Freelance Graphic Designer;PT. Badan Delight Connection Cosmetics Indonesia;Jakarta Selatan, DKI Jakarta;Hybrid;Freelance;Minimal Sarjana (S1);Freelance Graphic DesignerGaji Tidak Ditampilkan;29 hari yang lalu;Graphic Designer
Graphic Designer;PT Stakom Trijaya Andala;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerRp 3,5 jt-5 jt;Kemarin;Graphic Designer
Graphic Designer;CV. Tri Rukun Bersaudara;Kab. Sidoarjo, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerRp 3 jt-4,5 jt;2 hari yang lalu;Graphic Designer
Graphic Designer;PT. Bogajaya Sukses Abadi;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Graphic DesignerRp 3,4 jt-5,1 jt;2 jam yang lalu;Graphic Designer
Freelance GRAPHIC DESIGNER;HerRay;Bekasi, Jawa Barat;Remote/Dari rumah;Freelance;Minimal SMA/SMK;Freelance GRAPHIC DESIGNERRp 2,5 jt-3,5 jt;8 hari yang lalu;Graphic Designer
Freelance Graphic Designer;Aerion Motors;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Freelance;1–3 tahun;Freelance Graphic DesignerRp 2,4 jt-3,6 jt;20 hari yang lalu;Graphic Designer
Graphic Designer;The Publish Group;Jakarta Pusat, DKI Jakarta;Kontrak;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerGaji Tidak Ditampilkan;1 jam yang lalu;Graphic Designer
Freelance Graphic Designer;Kreativyn.id - Zainul R***;Kab. Sidoarjo, Jawa Timur;Hybrid;Freelance;Minimal SMA/SMK;Freelance Graphic DesignerRp 700 rb-800 rb;20 hari yang lalu;Graphic Designer
Graphic Designer;3mongkis;Jakarta Pusat, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerGaji Tidak Ditampilkan;14 hari yang lalu;Graphic Designer
Freelance Graphic Designer;Masa Remaja;Jakarta Selatan, DKI Jakarta;Remote/Dari rumah;Freelance;1–3 tahun;Freelance Graphic DesignerRp 1 jt-2 jt;31 hari yang lalu;Graphic Designer
Graphic Designer;Matcha;Surakarta, Jawa Tengah;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerGaji Tidak Ditampilkan;Kemarin;Graphic Designer
Graphic Designer;Tuksedo Studio;Kab. Gianyar, Bali;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerRp 4 jt-6,5 jt;6 jam yang lalu;Graphic Designer
Graphic Designer;Pt. Indo Duta Eka Kreasi Unik;Jakarta Utara, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Graphic DesignerRp 2 jt-4 jt;2 hari yang lalu;Graphic Designer
Graphic Designer;Aterra Realty;Malang, Jawa Timur;Penuh Waktu;1–3 tahun;Minimal Diploma (D1 - D4);Graphic DesignerRp 1,5 jt-2 jt;3 hari yang lalu;Graphic Designer
Graphic Designer;PT. Jindi Material Indonesia;Jakarta Utara, DKI Jakarta;Penuh Waktu;3–5 tahun;Minimal Diploma (D1 - D4);Graphic DesignerRp 4 jt-6 jt;6 menit yang lalu;Graphic Designer
Graphic Designer;PT Yaoyao Indonesia Info Tech;Jakarta Selatan, DKI Jakarta;Penuh Waktu;1–3 tahun;Minimal Sarjana (S1);Graphic DesignerGaji Tidak Ditampilkan;Kemarin;Graphic Designer
Graphic Designer;PT Magna Inovasi Industri;Kab. Bogor, Jawa Barat;Penuh Waktu;1–3 tahun;Minimal SMA/SMK;Graphic DesignerRp 3 jt-3,5 jt;7 hari yang lalu;Graphic Designer
Graphic Designer;PT Guangwei Indonesia;Jakarta Utara, DKI Jakarta;Hybrid;Penuh Waktu;3–5 tahun;Graphic DesignerGaji Tidak Ditampilkan;7 hari yang lalu;Graphic Designer
