job_title;company_name;location;job_type;experience_level;education_req;salary_range;job_requirements;job_responsibilities;posted_date;source_platform
Exim Staff;PT TOPY UNDERCARRIAGE INDONESIA;Bekasi;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;"Male/Female Minimum bachelor degree any faculty
 Preferably min 1-2 years experiences Export Import and PPIC
 Able to communication and correspondence in English
 Proficient in Microsoft Excel ( basic skill ).
 Able to quickly understand and adapt to new systems.
 Preferably domiciled in Cikarang and Karawang Benefit :
 Monthly salary : Range 6 – 7 million ( depend on working experience )
 BPJS Insurance
 Lunch and Transportation fee, will be provided
 Annual Bonus";"PT. TOPY UNDERCARRIAGE INDONESIA, Located at Delta Silicon – Cikarang is an Assembly company as a subsidiary of Topy Industries Ltd from Japan which engaged in the assembly parts for excavator. Due to our business expansion, we are urgently seeking highly-potential candidates for the following position as : Handle export and import document process (invoice, packing list, bills of lading, etc.). Communication with forwarders and monitoring shipment status until goods are received Support daily administrative activities related to PPIC and Export-Import functions. Plan and arrange delivery to customers, including creating shipping documents and controlling customer purchase orders. Monitor and control customer pricing.
 Support Warehouse administration job";2026-05-06;Karir.com
Akuntansi dan Perpajakan / Tax accountant;PT Daya Medika Pratama;Bandung;Tidak Disebutkan;2 Tahun;S1, D3;Tidak dicantumkan;"Untuk melamar posisi tax accountant umumnya dibutuhkan gelar di bidang akuntansi, keuangan, atau bidang lain yang relevan seperti administrasi bisnis dan bisnis. Sertifikasi Certified Public Accountants (CPA) dan Certified Management Accountants (CMA) menjadi nilai tambah dalam peran ini.
 
 Pengetahuan tentang prosedur akuntansi dan pembukuan menjadi kebutuhan seorang tax accountant. Mereka juga harus memiliki keakraban dengan perangkat lunak akuntansi seperti Accurate, Xero, dan Fresh Books. Selain itu, pengoperasian microsoft excel dan perhitungan matematika yang kuat sangat penting.
 Di samping itu, soft skill yang dibutuhkan tax accountant adalah keterampilan analitis, manajemen waktu yang sangat baik, dan perhatian yang tajam terhadap detail. Keterampilan dalam mengatasi masalah secara metodis dan pikiran yang terorganisir juga membantu kesuksesan tax accountant.";"1. Memeriksa Laporan Keuangan
 Tax accountant adalah orang profesional yang menyiapkan dan mengelola laporan keuangan perusahaan. Mereka akan meninjau semua laporan keuangan yang relevan untuk mendapatkan wawasan paling akurat tentang keuangan perusahaan. Di samping itu, mereka harus memastikan semua materi dalam laporan sesuai dengan peraturan perundang-undangan yang berlaku.
 2. Menghitung Pajak
 Tugas utama tax accountant adalah menyiapkan pembayaran pajak dan melacak pengembalian pajak perusahaan. Mereka mempersiapkan seluruh dokumen yang dibutuhkan untuk melengkapi pembayaran dan pengembalian pajak. Dengan tugas ini, tax accountant membantu perusahaan menghindari penalti karena tenggat waktu yang terlewat. Selain itu, tax accountant juga memperkirakan pajak untuk manajer tingkat senior di perusahaan.
 3. Mengatur Database Pajak Perusahaan 
 Seorang tax accountant juga membantu perusahaan untuk mengatur dan mengupdate database pajak perusahaan. Mereka menyimpan informasi keuangan perusahaan di direktori yang terstruktur sehingga mereka dapat mengaksesnya dengan mudah sewaktu diperlukan. 
 4. Membantu Perencanaan Anggaran
 Tax accountant membantu perusahaan dalam perencanaan keuangan. Mereka mengidentifikasi penghematan pajak dan menyarankan cara untuk meningkatkan profitabilitas. Tentunya, strategi pajak yang direkomendasikan harus selaras dengan sasaran bisnis perusahaan. Dalam melakukan tugas ini, tax accountant akan berhubungan dengan auditor internal dan eksternal. 
 5. Meninjau Sistem Akuntansi
 Salah satu tanggung jawab tax accountant adalah meninjau sistem akuntansi perusahaan. Peninjauan sistem dilakukan secara teratur dan membuat pembaruan dan peningkatan jika diperlukan. Hal ini bertujuan untuk memastikan sistem akuntansi perusahaan berjalan seefektif dan seefisien mungkin. Melakukannya memungkinkan tax accountant untuk memperbaiki masalah atau kesalahan apa pun.";2026-05-16;Karir.com
Sales Perumahan;PT Danamas Insan Kreasi Andalan (DIKA);Solo;Tidak Disebutkan;1 Tahun;D3;Rp 3.000.000 - Rp 4.000.000;- Memiliki kemampuan komunikasi dan negosiasi yang baik - Berorientasi pada target dan hasil - Menyukai pekerjaan lapangan dan mobilitas tinggi - Memahami dasar produk KPR atau pembiayaan (nilai tambah jika memahami konsep syariah) - Mampu bekerja secara mandiri maupun tim - Pendidikan SMA sederajat dipersilahkan melamar apabila memiliki pengalaman sales KPR;- Mencari dan mengakuisisi calon nasabah baru untuk produk KPR syariah - Melakukan aktivitas canvassing, follow up leads, dan kunjungan ke lokasi potensial (perumahan, developer, pameran, dll.) - Menjelaskan produk pembiayaan rumah sesuai prinsip syariah (akad, margin, skema cicilan) dengan jelas kepada calon nasabah - Membantu proses pengajuan KPR mulai dari pengumpulan dokumen hingga pengajuan ke pihak internal bank - Menjalin dan menjaga hubungan baik dengan developer, agen properti, maupun pihak terkait lainnya - Mencapai target penjualan yang telah ditetapkan oleh perusahaan - Membuat laporan aktivitas penjualan secara berkala;2026-05-15;Karir.com
Sales;PT Hakiki Donarta;Surabaya;Tidak Disebutkan;0 Tahun;S1, SMA;Tidak dicantumkan;"Pria/Wanita Usia Maks. 35 Tahun
 Mampu bekerja dalam Team ataupun Individu
 Memiliki kemampuan persuasif yang bagus
 Mampu bekerja dalam target dan bertanggung jawab atas pencapaian target penjualan
 Jujur, Cekatan, Sehat dan Bertanggung Jawab
 Memiliki SIM C dan A";"Mencari customer baru menawarkan barang
 mempromosikan barang baru
 sebagai product communicator";2026-05-13;Karir.com
Baker;PT Hakiki Donarta;Surabaya;Tidak Disebutkan;0 Tahun;S1;Tidak dicantumkan;"Usia maksimal 35 Tahun Pendidikan min. D3/S1 (Diutamakan jurusan tataboga atau kulineri)
 Memiliki pengalaman bidang yang sama (Min 1 tahun)
 Memiliki ketertarikan dalam membuat trial product
 Dapat bekerja dalam target
 Kreatif
 Dapat bekerja tim
 Dapat bekerja diluar kota
 Penempatan Surabaya";"Memeriksa kualitas bahan-bahan dan produk jadi Membuat trial product sebagai product communicator
 Live di Instagram dan Youtube Mengadakan baking demo";2026-05-13;Karir.com
Manager Operasional (Mining Company);PT Imecon Teknindo;Jakarta Selatan;Tidak Disebutkan;5 Tahun;S1;Rp 8.000.000 - Rp 15.000.000;"Job description : 1. Perencanaan dan Strategi Produksi Menyusun Target Tahunan/Bulanan: Merancang rencana kerja produksi (misalnya target Overburden removal dan Coal/Ore getting) berdasarkan target perusahaan. Optimalisasi Armada: Mengatur alokasi alat berat (excavator, dump truck, dozer) agar bekerja secara maksimal dengan biaya operasional minimal. Manajemen Rantai Pasok: Memastikan ketersediaan bahan bakar (fuel), suku cadang, dan bahan peledak agar operasional tidak terhenti. 2. Pengawasan Operasional di Lapangan Monitoring Real-time: Memantau kemajuan tambang setiap hari untuk memastikan operasional sesuai dengan desain tambang (mine plan). Evaluasi Vendor/Kontraktor: Jika perusahaan menggunakan kontraktor, Manager Operasional bertugas mengawasi kinerja mereka agar sesuai dengan kontrak kerja (SLA). Penyelesaian Masalah (Troubleshooting): Mengambil keputusan cepat saat terjadi kendala teknis di pit, masalah cuaca, atau kerusakan alat yang bersifat masif. 3. Kesehatan, Keselamatan Kerja, dan Lingkungan (K3L/HSE) Kepatuhan Regulasi: Memastikan seluruh aktivitas tambang mematuhi kaidah teknik pertambangan yang baik (Good Mining Practice) dan regulasi pemerintah (seperti aturan Minerba). Budaya Safety: Menjamin nihil kecelakaan kerja (Zero Accident) melalui pengawasan prosedur keselamatan yang ketat bagi seluruh karyawan. Reklamasi & Lingkungan: Mengawasi pengelolaan limbah dan proses reklamasi lahan pascatambang agar sesuai dengan standar AMDAL. 4. Manajemen Finansial dan Budgeting Pengendalian Biaya (Cost Control): Memonitor Cost per Tonne agar tetap berada di bawah plafon anggaran. Penyusunan Anggaran (CAPEX/OPEX): Merencanakan kebutuhan investasi alat baru (CAPEX) dan biaya pemeliharaan rutin (OPEX). 5. Kepemimpinan dan Hubungan Pemangku Kepentingan Manajemen SDM: Memimpin tim besar yang terdiri dari supervisor, engineer, dan operator; serta memastikan pengembangan kompetensi mereka. Hubungan Masyarakat (Community Relations): Berkoordinasi dengan tim eksternal untuk menjaga hubungan baik dengan masyarakat lingkar tambang guna meminimalisir konflik sosial.";"1. Perencanaan dan Strategi Produksi Menyusun Target Tahunan/Bulanan: Merancang rencana kerja produksi (misalnya target Overburden removal dan Coal/Ore getting) berdasarkan target perusahaan. Optimalisasi Armada: Mengatur alokasi alat berat (excavator, dump truck, dozer) agar bekerja secara maksimal dengan biaya operasional minimal. Manajemen Rantai Pasok: Memastikan ketersediaan bahan bakar (fuel), suku cadang, dan bahan peledak agar operasional tidak terhenti. 2. Pengawasan Operasional di Lapangan Monitoring Real-time: Memantau kemajuan tambang setiap hari untuk memastikan operasional sesuai dengan desain tambang (mine plan). Evaluasi Vendor/Kontraktor: Jika perusahaan menggunakan kontraktor, Manager Operasional bertugas mengawasi kinerja mereka agar sesuai dengan kontrak kerja (SLA). Penyelesaian Masalah (Troubleshooting): Mengambil keputusan cepat saat terjadi kendala teknis di pit, masalah cuaca, atau kerusakan alat yang bersifat masif. 3. Kesehatan, Keselamatan Kerja, dan Lingkungan (K3L/HSE) Kepatuhan Regulasi: Memastikan seluruh aktivitas tambang mematuhi kaidah teknik pertambangan yang baik (Good Mining Practice) dan regulasi pemerintah (seperti aturan Minerba). Budaya Safety: Menjamin nihil kecelakaan kerja (Zero Accident) melalui pengawasan prosedur keselamatan yang ketat bagi seluruh karyawan. Reklamasi & Lingkungan: Mengawasi pengelolaan limbah dan proses reklamasi lahan pascatambang agar sesuai dengan standar AMDAL. 4. Manajemen Finansial dan Budgeting Pengendalian Biaya (Cost Control): Memonitor Cost per Tonne agar tetap berada di bawah plafon anggaran. Penyusunan Anggaran (CAPEX/OPEX): Merencanakan kebutuhan investasi alat baru (CAPEX) dan biaya pemeliharaan rutin (OPEX). 5. Kepemimpinan dan Hubungan Pemangku Kepentingan Manajemen SDM: Memimpin tim besar yang terdiri dari supervisor, engineer, dan operator; serta memastikan pengembangan kompetensi mereka. Hubungan Masyarakat (Community Relations): Berkoordinasi dengan tim eksternal untuk menjaga hubungan baik dengan masyarakat lingkar tambang guna meminimalisir konflik sosial.";2026-05-13;Karir.com
Teknisi Peternakan Unggas (Mataram);PT Imecon Teknindo;Mataram;Tidak Disebutkan;1 Tahun;SMA;Rp 3.000.000 - Rp 4.000.000;"Pendidikan minimal SNAKMA atau sederajat
 Pengalaman ≥2 tahun di industri unggas komersial
 Pemahaman manajemen peternakan modern
 Kemampuan problem solving di lapangan
 Komunikasi yang kuat dan kolaboratif
 Kesiapan untuk mobilitas kerja dan pencatatan data operasional";"Mendampingi peternak dalam penerapan praktik terbaik peternakan
 Monitoring performa pakan dan produktivitas
 Edukasi serta berbagi insight operasional
 Deteksi dini risiko produksi
 Kolaborasi dengan distributor dan tim internal";2026-05-13;Karir.com
HR Representative - Kendari;PT Imecon Teknindo;Kendari;Tidak Disebutkan;2 Tahun;S1;Rp 3.000.000 - Rp 4.000.000;"Pendidikan Minimal S1 jurusan Psikologi / Hukum / Manajemen SDM 
 Pengalaman minimal 1–3 tahun di bidang HR (diutamakan outsourcing/manpower service)
 Berpengalaman melakukan recruitment posisi operasional (lebih disukai: sampler & preparator / tambang / lab)
 Pernah pengalaman di perusahaan Outsorching & pernah menghandle karyawan &gt; 500 orang
 Memahami UU ketenagakerjaan & PP
 Dpt menggunakan Komputer (Ms. Office)
 Memiliki komunikasi yang baik lisan maupun tulisan
 Cepat memahami mengenai system, Web & Excel";"Melakukan proses end-to-end recruitment (sourcing, screening, interview, offering)
 Fokus rekrut posisi operasional, terutama sampler dan preparator
 Memastikan kandidat sesuai kebutuhan user (site nikel/tambang/batubara)
 Berkoordinasi dengan user/site terkait kebutuhan manpower
 Mengelola database kandidat dan pipeline talent
 Menjadi PIC (Person in Charge) karyawan outsourcing di site
 Monitoring kehadiran, absensi, dan rotasi kerja
 Menangani permasalahan karyawan (disiplin, konflik, dll)
 Melakukan kunjungan site secara berkala
 Menjaga hubungan baik dengan user/perusahaan klien
 Mengelola kontrak kerja karyawan
 Mengurus onboarding dan offboarding
 Monitoring masa berlaku kontrak & perpanjangan
 Mengelola data karyawan (HRIS/manual)
 Membuat laporan HR (recruitment, turnover, absensi)
 Menjadi penghubung antara karyawan dan manajemen
 Menangani keluhan karyawan (grievance handling)
 Membina engagement dan kedisiplinan karyawan
 Sosialisasi aturan perusahaan & kebijakan HR
 Memastikan karyawan mengikuti SOP kerja (terutama di site tambang/lab)
 Memastikan kelengkapan dokumen kerja (ID, kontrak, dll)
 Mendukung audit internal/eksternal terkait tenaga kerja";2026-05-13;Karir.com
Account Executive Provider Jawa Barat;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;1 Tahun;SMA;Rp 2.362.000 - Rp 5.053.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 20 tahun dan maksimal 45 tahun
 Wajib ada motor
 Wajib ada pengalaman sales/marketing lapangan
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - DTD, Jaga Stand / Pameran dan Digital Marketing
 - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-13;Karir.com
Account Executive Provider Kab Bogor;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;1 Tahun;SMA;Rp 5.438.000 - Rp 7.000.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 20 tahun dan maksimal 45 tahun
 Wajib ada motor
 Wajib ada pengalaman sales/marketing lapangan
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - DTD, Jaga Stand / Pameran dan Digital Marketing
 - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-13;Karir.com
Account Executive Provider Kab Tangerang;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;1 Tahun;SMA;Rp 5.211.000 - Rp 7.000.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 20 tahun dan maksimal 45 tahun
 Wajib ada motor
 Wajib ada pengalaman sales/marketing lapangan
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - DTD, Jaga Stand / Pameran dan Digital Marketing
 - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-13;Karir.com
Account Executive Provider Palembang;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;1 Tahun;SMA;Rp 4.193.000 - Rp 6.000.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 20 tahun dan maksimal 36 tahun
 Wajib ada motor
 Wajib ada pengalaman sales/marketing lapangan
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - DTD, Jaga Stand / Pameran dan Digital Marketing
 - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-13;Karir.com
Account Executive Provider ARBI;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;1 Tahun;SMA;Rp 5.700.000 - Rp 7.000.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 20 tahun dan maksimal 35 tahun
 Good Looking Wajib ada motor
 Wajib ada pengalaman sales/marketing (Apartemen) Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - Stay di Apartemen Jabodetabek - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-13;Karir.com
Customer Social Media & Email Provider Wi Fi – Jakarta;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;1 Tahun;S1, D3, SMA;Rp 5.729.876 - Rp 6.000.000;Customer Social Media & Email Provider Wi Fi – Jakarta Penempatan Cabang : Cipulir – Jakarta Selatan • Wanita / Laki – Laki • Minimal lulusan Teknis STM/SMK/D3/S1 Telekomunikasi atau Teknik Informatika atau Teknik Informasi • Memiliki analisa yang baik dalam membaca pertanyaan atau komplain dari pelanggan • Bersedia bekerja secara 4 shifting ( Mulai masuk pukul 07/10/13/22) • Background Call Centre Social Media + Email Benefit Rp Rp 5.729.876 / bulan & BPJS TENAGA KERJA + BPJS KESEHATAN Berminat Hubungi : HR Recruitment : Pak Herry Wa/Tlp : 0858 8480 5990 Email : resourcesrajawalianugrah@gmail.com Subject : Call Centre Provider Wi Fi Cipulir – Jakarta Selatan;Customer Social Media & Email Provider Wi Fi – Jakarta Penempatan Cabang : Cipulir – Jakarta Selatan • Menangani panggilan telepon (incoming calls) dengan cepat dan memberikan pengalaman pelanggan yang profesional ( Handle Social Media & Email ) • Memberikan informasi layanan, solusi dan dukungan seperti: Produk dan dukungan pengajuan berlangganan, Tagihan dan dukungan terhadap masalah pembayaran, Data pelanggan dan dukungan terhadap pembaharuan data pelanggan, Kendala teknis dan dukungan teknis terhadap kendala atau keluhan yang dialami oleh pelanggan • Melakukan konfirmasi kembali kepada pelanggan terkait keluhan yang disampaikan apakah sudah terselesaikan (memastikan layanan sudah normal di pelanggan) • Menjaga Service Level Inbound bersama seluruh Tim Benefit Rp 5.729.876 / bulan & BPJS TENAGA KERJA + BPJS KESEHATAN Berminat Hubungi : HR Recruitment : Pak Herry Wa/Tlp : 0858 8480 5990 Email : resourcesrajawalianugrah@gmail.com Subject : Call Centre Social Media Provider Wi Fi Cipulir – Jakarta Selatan;2026-05-13;Karir.com
Account Executive Provider Jawa Tengah;PT Rajawali Anugrah Resources;Jakarta Selatan;Tidak Disebutkan;0 Tahun;SMA;Rp 3.702.000 - Rp 6.000.000;"Pria/Wanita
 Minimal Smu/Smk
 Minimal usia 20 tahun dan maksimal 45 tahun
 Freshgraduate di persilahkan melamar Wajib ada motor
 Lebih di sukai / di utamakan pengalaman sales/marketing lapangan
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";"- Menawarkan produk wifi internet ke customer / pelanggan ( sebar brosur )
 - DTD, Jaga Stand / Pameran dan Digital Marketing
 - Memaintance customer / pelanggan
 - Target penjualan
 - Report harian, mingguan dan bulanan ke leader / supervisor sales
 Bisa chat langsung Pak Avim WA : 08561500304 / 08886100024";2026-05-13;Karir.com
Sales Canvasser (Magetan);PT Qerja Manfaat Bangsa (QMB);Jakarta Barat;Tidak Disebutkan;1 Tahun;Apa Saja;Rp 3.000.000 - Rp 4.000.000;"Pria/Wanita
 Pendidikan minimal SMA/SMK
 Berpengalaman di bidang sales min. 1 tahun diutamakan
 Berpenampilan menarik, supel, dan lancar berkomunikasi
 Mengerti dan memahami perkembangan teknologi dan gadget
 Mampu bekerja dengan target & team
 Memiliki kendaraan pribadi dan HP Android
 Fresh graduate dipersilakan melamar
 Berpengalaman menjadi Sales Canvas menjadi nilai tambah";Klien kami sedang mencari staff untuk posisi Sales Canvasser;2026-05-12;Karir.com
Marketing;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;SMA;Tidak dicantumkan;"Pria / Wanita
 Usia Maksimal 30 Tahun
 Minimal Lulus SLTA atau sederajat
 Minimal 1 tahun berpengalaman dibidang Sales
 Aktif, Jujur, Disiplin, Bertanggung Jawab.
 Mampu Bekerja secara Tim ataupun Independent Komunikatif (memiliki skill Komunikasi yang Baik)";"Membantu mempersiapkan, dan memperbaharui Sales & Marketing .
 Innovative, dan kreatif dengan ide baru dalam melaksanakan tugas dan tanggung Jawab
 Melakukan negosisiasi dengan Customer
 Menjaga hubungan kerja sama dengan Customer";2026-05-12;Karir.com
Staf Operational;PT Wynfield Global Ventures;Bandung;Tidak Disebutkan;1 Tahun;SMA;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 Minimal pendidikan SMA
 Berpengalaman di bidangnya minimal 1 tahun
 Dapat bekerja individu maupun tim
 Teliti, jujur, dan cekatan
 Domisili Bandung";-;2026-05-12;Karir.com
Retail Manager;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;3 Tahun;S1, D3;Tidak dicantumkan;"Punya Leadership & Mengembangkan Team
 Diutamakan berpengalaman pernah menjual barang di outlet/toko
 Target oriented
 Usia maksimal 30 tahun
 Pendidikan minimal D3 dan berpengalaman minimal 3 tahun";"Mengelola dan memantau operasional pelayanan sehari-hari
 Melayani dan memberi solusi yang terbaik kepada customer
 Melakukan pembinaan kedisiplinan dan kerjasama tim di dalam lingkungan counter yang menjadi tanggung jawabnya
 Menangani keluhan pelanggan dan membina hubungan yang baik dengan pelanggan";2026-05-12;Karir.com
Restaurant Manager;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;5 Tahun;S1, D3;Tidak dicantumkan;"Pria/Wanita, maks. 35 tahun
 min. D3 Perhotelan
 Pengalaman bekerja di Pastry / Cook / Chef, 5 tahun
 Penempatan kerja di Bandung / Jakarta / Bali";-;2026-05-12;Karir.com
Guru;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Laki - Laki & Perempuan
 Usia minimal 25 tahun
 Pendidikan Minimal D3
 Pengalaman minimal 1 tahun lebih diutamakan
 Fresh Graduate dipersilahkan mel;amar";-;2026-05-12;Karir.com
Model;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;D3, SMA;Tidak dicantumkan;"Laki - Laki & Perempuan
 Usia minimal 25 tahun
 Pengalaman minimal 1 tahun
 Berpenampilan Menarik";-;2026-05-12;Karir.com
Content Producer;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1, D3, SMA;Tidak dicantumkan;"Laki - Laki & Perempuan
 Usia minimal 25 tahun
 SMA / SMK 
 Pengalaman minimal 1 tahun";-;2026-05-12;Karir.com
IT Staf;PT Wynfield Global Ventures;Medan;Tidak Disebutkan;1 Tahun;S1, D3;Tidak dicantumkan;"Pendidikan min D3 IT
 Menguasai tentang hardware, software maupun jaringan
 Berpengalaman min 1 tahun/ terbuka untuk fresh graduate
 Memiliki keterampilan administrasi, rapih, teliti, loyal, target oriented
 Lancar berbahasa Hokkian
 Bersedia untuk penempatan Amplas - Medan";-;2026-05-12;Karir.com
IT MANAGER;PT Wynfield Global Ventures;Prov. DKI-Jakarta;Tidak Disebutkan;1 Tahun;S1;Tidak dicantumkan;"• Pendidikan Min S-1 di bidang Teknik Informatika atau Manajemen Informatika
 • Pengalaman minimal 2 tahun dalam bidang IT
 • Memiliki kemampuan terkait Logika Algoritma dan EDP
 • Mampu dan terbiasa dalam mengatasi Hardware Troubleshooting
 • Cermat, teliti, detail dan memiliki leadership
 • Domisili Jakarta dan Bandung";-;2026-05-12;Karir.com
Design;PT Wynfield Global Ventures;Tangerang;Tidak Disebutkan;1 Tahun;S1, SMA;Rp 2.000.000 - Rp 2.500.000;Lebih baik jika memiliki pengalaman sebagai desinger sebelumnnya Bersedia menempuh perjalanan ke Lokasi tempat kerja setiap hari di daerah BSD, Tangerang Maksimal usia 30 Memiliki keterampilan berbicara dan menjual yang baik Kreatif, bersemangat, dan terbuka dengan berbagai masukan positif Aktif, ramah, dan mau belajar, hal baru Bersedia berkerja di luar jam kerja dan mau belajar di luar job desc Job Types : Full-time, Contract Contract legnht : 12 months Tangerang : Reliably commute or planning to relocate before starting work ( Preferred);Usia maksimal 30 Pendidikan minimal SMA/SMK/Sederajat Sudah memiliki pengalaman di bidang serupa Bisa menggunakan Software Photoshop, Adobe illustrator Mampu membuat konten vidio dan mengeditnya merupakan hal positif Memahami konsep dasar Branding dan Adversting Memiliki Laptop untuk berkerja Selalu berkoordinasi dengan departemen lain dan membantu bila diperlukan Berani menerima tantangan untuk mencapai target yang ditetapkan Bersedia belajar job desc pekerjaan yang lain sekitar Design & Media Sosial Job Types : Full-time, Contract, Fresh Graduate;2026-05-12;Karir.com
